action,file,cdn_url,status,notes
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\story\Magnificent Michigan Epoxy Table 005.jpg,https://mbu-assets.vercel.app/img/story/Magnificent Michigan Epoxy Table 005.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\story\Magnificent Michigan Epoxy Table 006.JPG,https://mbu-assets.vercel.app/img/story/Magnificent Michigan Epoxy Table 006.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\story\Magnificent Michigan Epoxy Table 007.JPG,https://mbu-assets.vercel.app/img/story/Magnificent Michigan Epoxy Table 007.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\story\Magnificent Michigan Epoxy Table 008.JPG,https://mbu-assets.vercel.app/img/story/Magnificent Michigan Epoxy Table 008.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\story\Magnificent Michigan Epoxy Table 009.JPG,https://mbu-assets.vercel.app/img/story/Magnificent Michigan Epoxy Table 009.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Logo 1 use as 2nd.jpg,https://mbu-assets.vercel.app/img/woodworking/Logo 1 use as 2nd.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Logo 1 use as main.jpg,https://mbu-assets.vercel.app/img/woodworking/Logo 1 use as main.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 001.jpg,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 001.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 003.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 003.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 005.jpg,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 005.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 006.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 006.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 007.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 007.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 008.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 008.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 009.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 009.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 010.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 010.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 011.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 011.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 012.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 012.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 013.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 013.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 014.jpg,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 014.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 015.jpg,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 015.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 016.jpg,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 016.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 017.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 017.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 018.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 018.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 019.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 019.JPG,deleted_from_code,CDN 200; removed from code repo
